maybe, definitely_not, false_positive
102 , 17349 , 84
20 , 18605 , 1
53 , 16137 , 0
6 , 18759 , 1
8 , 18757 , 3
156 , 17493 , 126
16 , 17035 , 0
43 , 18373 , 1
13 , 18417 , 1
9 , 18446 , 1
16 , 16228 , 0
10 , 18536 , 1
52 , 16199 , 0
38 , 18331 , 23
52 , 16509 , 0
74 , 15820 , 6
167 , 17867 , 119
187 , 17809 , 94
269 , 15645 , 125
669 , 18407 , 144
428 , 17510 , 376
111 , 18628 , 109
1092 , 15792 , 945
216 , 17916 , 199
245 , 17527 , 203
153 , 18029 , 56
169 , 17624 , 158
97 , 17484 , 72
3859 , 14377 , 3845
876 , 16723 , 792
71 , 18449 , 65
156 , 18072 , 144
89 , 18431 , 83
115 , 18169 , 104
109 , 18292 , 30
12 , 17773 , 3
94 , 17269 , 76
15 , 17770 , 6
19 , 17344 , 9
73 , 18580 , 65
21 , 17366 , 1
97 , 17232 , 75
313 , 17579 , 303
31 , 17367 , 2
154 , 15135 , 102
7156 , 11315 , 7150
152 , 18396 , 148
232 , 16026 , 164
380 , 16966 , 259
135 , 17665 , 117
507 , 16183 , 401
484 , 17720 , 417
397 , 17535 , 381
1096 , 16785 , 1075
104 , 17963 , 91
3800 , 14006 , 3771
208 , 18235 , 201
702 , 18665 , 268
237 , 16351 , 148
685 , 18831 , 150
756 , 17959 , 754
58 , 18497 , 50
218 , 18583 , 214
919 , 17582 , 909
14 , 17857 , 4
3 , 18614 , 1
11 , 18455 , 0
6 , 18447 , 2
45 , 17266 , 33
701 , 20620 , 34
765 , 17353 , 576
33 , 18659 , 31
25 , 18667 , 23
643 , 16726 , 579
1239 , 16539 , 1094
56 , 18479 , 50
43 , 18701 , 41
62 , 18362 , 54
89 , 18274 , 80
49 , 18536 , 39
104 , 18502 , 98
68 , 18601 , 64
21 , 18548 , 17
40 , 18629 , 36
669 , 17523 , 663
60 , 18588 , 55
30 , 18475 , 17
19 , 18609 , 15
25 , 17564 , 17
31 , 18648 , 27
44 , 18465 , 37
71 , 18458 , 63
106 , 18396 , 93
42 , 18563 , 35
81 , 18493 , 73
1378 , 17060 , 1362
66 , 17719 , 48
47 , 18244 , 34
43 , 18474 , 31
71 , 18403 , 59
2782 , 15458 , 2758
69 , 18411 , 36
146 , 18340 , 132
61 , 17591 , 22
986 , 17445 , 952
160 , 17992 , 145
81 , 18530 , 73
28 , 18358 , 16
67 , 18074 , 43
114 , 17888 , 86
53 , 18117 , 11
31 , 17988 , 0
218 , 18128 , 197
2 , 18704 , 0
2 , 18704 , 0
2 , 18704 , 0
209 , 18431 , 203
3 , 18157 , 0
3 , 18157 , 0
4 , 18156 , 2
2 , 18158 , 0
158 , 17958 , 146
36 , 18124 , 34
2 , 18158 , 0
