maybe, definitely_not, false_positive
16 , 59783 , 12
4 , 59795 , 0
5 , 59794 , 1
11 , 59573 , 0
7 , 59708 , 1
28 , 58324 , 2
1006 , 58301 , 1
54 , 56383 , 4
53 , 57506 , 9
136 , 56982 , 6
19 , 59871 , 4
54 , 59230 , 4
8 , 59625 , 2
86 , 58384 , 11
65 , 57040 , 9
294 , 56714 , 245
37 , 55051 , 18
32 , 59275 , 0
7 , 59587 , 3
15 , 59152 , 2
10 , 59701 , 2
28 , 55719 , 4
114 , 59597 , 112
6 , 59561 , 0
5 , 59575 , 1
7 , 60171 , 1
36 , 60244 , 0
51 , 61210 , 1
10 , 60163 , 0
21 , 59488 , 0
5 , 59774 , 1
2 , 59852 , 0
19 , 59067 , 4
4 , 59818 , 0
4 , 59706 , 0
4 , 59818 , 0
4 , 59818 , 0
2 , 59754 , 0
5 , 59705 , 0
35 , 59307 , 1
3 , 59538 , 0
5 , 59556 , 0
2 , 59825 , 0
4 , 59554 , 0
2 , 59602 , 0
2 , 59602 , 0
2 , 59898 , 0
2 , 59769 , 0
10 , 59667 , 0
8 , 59789 , 0
9 , 59796 , 0
4 , 59865 , 0
23 , 59385 , 0
6 , 59820 , 0
15 , 60001 , 1
16 , 59707 , 0
13 , 59685 , 0
22 , 58439 , 3
2 , 59602 , 0
2 , 59602 , 0
34 , 58663 , 0
11 , 59447 , 0
4 , 59777 , 0
3 , 59601 , 0
6 , 59555 , 0
4 , 60011 , 1
7 , 59453 , 0
7 , 59442 , 0
2 , 59602 , 0
2 , 59602 , 0
9 , 59018 , 0
2 , 59790 , 0
24 , 59076 , 0
2 , 59602 , 0
3 , 59689 , 0
8 , 59120 , 1
4 , 59554 , 0
11 , 59527 , 1
3 , 59538 , 0
9 , 59827 , 1
6 , 59552 , 2
4 , 59468 , 0
2 , 59876 , 0
2 , 59852 , 0
12 , 59316 , 0
2 , 59736 , 0
5 , 59886 , 1
6 , 59859 , 0
4 , 59887 , 0
6 , 59796 , 0
9 , 59502 , 0
10 , 59567 , 1
10 , 59283 , 0
4 , 59887 , 0
9 , 59603 , 0
17 , 58933 , 1
6 , 59705 , 0
7 , 59594 , 1
14 , 59192 , 0
4 , 59821 , 0
8 , 59381 , 0
7 , 59996 , 1
10 , 59498 , 0
22 , 59013 , 0
6 , 59750 , 0
6 , 59750 , 0
4 , 59780 , 0
12 , 59051 , 0
4 , 59780 , 0
11 , 59253 , 0
11 , 59472 , 1
10 , 59241 , 0
4 , 59821 , 0
4 , 59821 , 0
4 , 59939 , 0
5 , 59938 , 1
8 , 59682 , 1
6 , 59680 , 0
3 , 59868 , 1
7 , 59526 , 1
2 , 59869 , 0
2 , 59869 , 0
2 , 59869 , 0
2 , 59869 , 0
4 , 59821 , 0
2 , 59869 , 0
3 , 59868 , 1
27 , 59451 , 1
10 , 59411 , 0
5 , 59610 , 0
4 , 59588 , 0
32 , 59750 , 0
9 , 59915 , 0
5 , 60001 , 0
11 , 59913 , 0
9 , 59915 , 0
5 , 59935 , 0
10 , 59210 , 0
4 , 59776 , 0
11 , 59836 , 0
6 , 59852 , 1
15 , 59422 , 0
9 , 59720 , 1
10 , 59421 , 0
16 , 59770 , 13
5 , 59853 , 0
25 , 59037 , 0
18 , 59743 , 13
11 , 60062 , 1
12 , 60391 , 0
