maybe, definitely_not, false_positive
61 , 56142 , 0
194 , 56400 , 6
70 , 56350 , 5
9 , 60880 , 1
14 , 61434 , 8
15 , 59800 , 1
44 , 58511 , 15
11 , 58976 , 4
31 , 51204 , 1
41 , 62176 , 5
2 , 59332 , 0
20 , 59921 , 1
70 , 56491 , 7
38 , 61334 , 0
8 , 59787 , 5
90 , 57788 , 40
22 , 59144 , 2
33 , 58804 , 13
48 , 63540 , 1
2 , 59689 , 0
40 , 58055 , 1
68 , 57710 , 41
2 , 59618 , 0
66 , 60186 , 1
11 , 60258 , 1
50 , 62401 , 4
18 , 58394 , 1
8 , 59776 , 1
158 , 54673 , 1
29 , 57276 , 3
25 , 61528 , 1
8 , 59463 , 0
16 , 58020 , 0
121 , 54331 , 11
160 , 58349 , 3
45 , 58948 , 15
4 , 59816 , 0
61 , 41129 , 5
54 , 53447 , 2
18 , 58998 , 4
19 , 59017 , 7
10 , 59336 , 0
7 , 59324 , 1
3 , 59846 , 0
14 , 59841 , 5
52 , 59661 , 50
6 , 59806 , 1
20 , 59990 , 3
8 , 59872 , 2
6 , 59609 , 2
12 , 59843 , 8
11 , 60093 , 2
3 , 59677 , 1
3 , 60008 , 0
8 , 59547 , 0
169 , 55346 , 15
8 , 59224 , 0
41 , 60674 , 3
96 , 56663 , 9
266 , 57576 , 4
6 , 59348 , 0
3 , 59703 , 0
26 , 60040 , 5
6 , 59697 , 0
17 , 63241 , 6
59 , 55702 , 2
43 , 57937 , 23
1 , 60066 , 0
10 , 60141 , 2
10 , 59575 , 2
9 , 59308 , 3
77 , 55989 , 11
72 , 44286 , 3
96 , 63893 , 15
88 , 62008 , 0
4 , 59820 , 0
3 , 60008 , 0
7 , 59372 , 1
47 , 63344 , 1
15 , 59481 , 7
2 , 59901 , 0
179 , 62785 , 20
19 , 60681 , 1
62 , 60551 , 0
16 , 60192 , 0
3 , 59630 , 0
5 , 60023 , 0
252 , 51446 , 8
6 , 60009 , 0
2 , 59695 , 0
210 , 57196 , 8
16 , 59223 , 0
3 , 59781 , 0
21 , 60324 , 1
2 , 59760 , 0
8 , 59856 , 0
84 , 59381 , 78
26 , 60501 , 5
5 , 59583 , 0
9 , 59355 , 2
19 , 59171 , 0
10 , 60114 , 5
48 , 59573 , 6
47 , 62280 , 1
35 , 55999 , 4
45 , 58437 , 0
9 , 59734 , 1
180 , 60961 , 0
6 , 59798 , 0
57 , 58239 , 15
5 , 59490 , 0
8 , 60193 , 1
3 , 59875 , 0
15 , 59469 , 4
0 , 60067 , 0
63 , 56604 , 0
17 , 60875 , 0
133 , 56827 , 22
11 , 60304 , 0
5 , 59689 , 0
3 , 59519 , 0
11 , 59762 , 7
14 , 59611 , 4
25 , 57948 , 2
110 , 59672 , 82
3 , 48129 , 0
421 , 59692 , 404
123 , 53231 , 10
4 , 59874 , 0
62 , 58434 , 5
5 , 59683 , 2
12 , 59518 , 1
53 , 60814 , 8
26 , 59947 , 3
14 , 59714 , 2
357 , 60018 , 346
9 , 59000 , 2
5 , 59473 , 0
13 , 59281 , 0
18 , 61402 , 0
48 , 56877 , 5
53 , 57914 , 1
3 , 59736 , 1
31 , 58538 , 8
9 , 60057 , 5
13 , 59470 , 3
3 , 59746 , 0
234 , 57899 , 219
63 , 58239 , 5
769 , 58311 , 756
2 , 59697 , 0
4 , 59961 , 3
25 , 61152 , 0
4 , 59864 , 0
8 , 59457 , 1
49 , 60247 , 2
31 , 59717 , 0
52 , 56341 , 4
57 , 62085 , 9
22 , 59856 , 0
81 , 57032 , 45
38 , 58599 , 7
4 , 59518 , 0
1 , 59964 , 0
10 , 59773 , 2
77 , 61692 , 1
7 , 59416 , 0
4 , 59668 , 1
20 , 59387 , 0
2 , 59710 , 0
9 , 58884 , 1
73 , 61432 , 10
24 , 57861 , 3
9 , 59856 , 7
6 , 60234 , 0
56 , 57187 , 0
291 , 59611 , 279
2 , 59863 , 0
13 , 60233 , 0
4 , 59499 , 0
53 , 57375 , 1
59 , 57433 , 9
271 , 60844 , 42
112 , 54328 , 2
39 , 58908 , 1
48 , 59099 , 1
19 , 59702 , 17
8 , 59737 , 6
25 , 60419 , 2
37 , 59189 , 4
377 , 66794 , 239
7 , 59771 , 0
5 , 59746 , 0
39 , 57877 , 0
24 , 60686 , 0
4 , 59692 , 0
142 , 54028 , 6
4 , 59869 , 0
305 , 58002 , 291
16 , 58764 , 0
22 , 59082 , 1
35 , 60409 , 0
296 , 59151 , 292
5 , 59605 , 0
27 , 58902 , 0
7 , 60652 , 0
93 , 59567 , 87
10 , 59867 , 1
165 , 59489 , 8
33 , 59651 , 10
29 , 58430 , 0
94 , 59977 , 76
24 , 60059 , 0
4 , 59895 , 3
5 , 59595 , 1
59 , 59614 , 1
12 , 58815 , 0
93 , 62874 , 5
11 , 60141 , 0
11 , 59543 , 8
9 , 59882 , 5
16 , 59080 , 3
79 , 61029 , 15
62 , 58586 , 2
4 , 60023 , 0
61 , 57591 , 0
12 , 60880 , 0
130 , 58339 , 77
12 , 59651 , 8
3 , 59729 , 0
96 , 63531 , 16
21 , 58616 , 1
26 , 58121 , 0
63 , 71943 , 0
30 , 60062 , 8
6 , 59644 , 0
6 , 59826 , 0
40 , 61250 , 2
18 , 59345 , 7
4 , 59715 , 0
2 , 59676 , 0
71 , 58070 , 45
13 , 59827 , 3
152 , 55829 , 1
33 , 55401 , 18
17 , 59132 , 1
61 , 52777 , 24
5 , 59560 , 0
5 , 59726 , 1
639 , 68120 , 22
107 , 60198 , 83
6 , 59655 , 1
17 , 59207 , 0
9 , 59529 , 1
5 , 59777 , 1
380 , 58154 , 364
5 , 59610 , 1
10 , 59524 , 3
3 , 60020 , 0
73 , 56711 , 11
23 , 59615 , 6
11 , 59224 , 0
20 , 60439 , 1
34 , 57499 , 5
77 , 50469 , 1
9 , 59203 , 1
2 , 59391 , 0
2 , 59848 , 0
12 , 59366 , 1
43 , 59964 , 38
4 , 59770 , 0
13 , 60673 , 3
105 , 59816 , 29
8 , 59400 , 0
33 , 58846 , 2
32 , 60564 , 8
43 , 57993 , 20
136 , 59549 , 126
34 , 58207 , 0
12 , 59127 , 5
6 , 58879 , 0
6 , 59108 , 0
44 , 58356 , 2
6 , 59716 , 2
5 , 59112 , 1
8 , 60006 , 1
30 , 61091 , 0
19 , 55950 , 0
19 , 58985 , 2
51 , 52362 , 1
26 , 58267 , 1
40 , 61069 , 0
45 , 58569 , 8
94 , 57369 , 14
7 , 59411 , 1
123 , 56390 , 57
93 , 62911 , 19
151 , 59515 , 142
11 , 59344 , 6
17 , 59835 , 15
4 , 59571 , 0
33 , 58864 , 6
82 , 56915 , 4
4 , 59502 , 1
101 , 60073 , 96
8 , 59658 , 1
17 , 60670 , 0
98 , 57192 , 2
26 , 59397 , 18
8 , 60171 , 0
32 , 60262 , 0
11 , 57179 , 0
67 , 61003 , 0
3 , 59713 , 0
156 , 54259 , 4
18 , 59444 , 7
77 , 58999 , 47
5 , 59764 , 0
10 , 59660 , 2
99 , 57080 , 7
24 , 59097 , 16
20 , 62013 , 1
9 , 59915 , 6
23 , 59499 , 4
12 , 59618 , 1
12 , 59196 , 0
2 , 59769 , 0
8 , 59698 , 6
31 , 58554 , 8
18 , 59098 , 6
2 , 60065 , 2
114 , 59689 , 85
7 , 59514 , 1
6 , 60004 , 0
11 , 59622 , 7
6 , 59924 , 2
36 , 59328 , 1
190 , 54209 , 1
11 , 58860 , 1
12 , 59778 , 4
45 , 57929 , 9
48 , 56504 , 3
5 , 59579 , 2
73 , 59044 , 4
105 , 56473 , 5
65 , 59119 , 53
21 , 59906 , 4
13 , 59444 , 2
36 , 58190 , 1
22 , 59226 , 1
32 , 58710 , 0
57 , 57747 , 5
140 , 62758 , 3
76 , 56144 , 1
7 , 59524 , 2
79 , 58541 , 24
3 , 59572 , 0
13 , 58760 , 4
229 , 54531 , 119
17 , 59329 , 11
7 , 59597 , 0
43 , 58571 , 6
96 , 56067 , 51
4 , 59021 , 1
115 , 58499 , 77
4 , 59902 , 1
65 , 61286 , 20
9 , 58759 , 0
55 , 59982 , 3
13 , 60265 , 0
15 , 58574 , 1
72 , 53485 , 1
5 , 59393 , 0
15 , 60714 , 2
8 , 44903 , 1
45 , 58724 , 9
38 , 59458 , 2
20 , 61439 , 0
84 , 58948 , 50
54 , 56383 , 4
20 , 59245 , 1
29 , 59438 , 4
28 , 59711 , 26
2 , 60009 , 0
4 , 59652 , 0
123 , 62276 , 3
