maybe, definitely_not, false_positive
589 , 43584 , 588
478 , 43695 , 474
225 , 43948 , 225
251 , 43922 , 246
416 , 43757 , 414
164 , 44009 , 159
406 , 61157 , 310
1027 , 42035 , 1022
568 , 43605 , 567
261 , 43912 , 258
260 , 43913 , 260
313 , 43860 , 311
253 , 43920 , 252
3035 , 31999 , 3031
420 , 43753 , 419
152 , 44021 , 150
230 , 43943 , 229
444 , 41466 , 442
167 , 44015 , 164
309 , 43864 , 308
414 , 60142 , 390
399 , 43455 , 395
635 , 54274 , 603
544 , 43629 , 540
2208 , 41965 , 2207
493 , 60094 , 476
693 , 43480 , 693
312 , 61482 , 304
651 , 60870 , 466
544 , 43633 , 507
505 , 60353 , 473
180 , 43993 , 179
311 , 43862 , 311
302 , 43871 , 302
222 , 43951 , 219
5729 , 38444 , 5728
444 , 61509 , 358
850 , 43323 , 839
568 , 43605 , 541
1466 , 44498 , 1460
800 , 43419 , 795
349 , 43824 , 343
1315 , 42858 , 1315
911 , 43262 , 910
2282 , 41891 , 2282
1234 , 41605 , 1233
3036 , 41137 , 3036
530 , 43643 , 529
1232 , 58339 , 1216
403 , 58774 , 351
1676 , 42497 , 1675
528 , 50444 , 525
697 , 43073 , 694
224 , 43949 , 221
209 , 43964 , 209
12216 , 31957 , 12216
1076 , 51613 , 1072
1012 , 43161 , 1006
165 , 44008 , 164
181 , 43992 , 181
632 , 43541 , 631
880 , 43293 , 833
194 , 43979 , 194
454 , 60760 , 391
2744 , 40861 , 2742
125 , 44048 , 123
1278 , 42895 , 1276
271 , 43902 , 270
488 , 61935 , 403
156 , 44017 , 156
435 , 43738 , 429
614 , 60556 , 328
298 , 38743 , 290
2747 , 41426 , 2745
304 , 43869 , 303
1064 , 43109 , 1048
432 , 43741 , 431
264 , 43909 , 263
429 , 43744 , 428
1923 , 42250 , 1922
214 , 43959 , 214
133 , 44040 , 128
2055 , 42118 , 2052
272 , 55737 , 267
1363 , 42810 , 1363
308 , 43865 , 301
285 , 43888 , 283
461 , 43712 , 460
1056 , 43117 , 1055
272 , 42567 , 271
157 , 44016 , 151
1041 , 55670 , 1029
959 , 43214 , 958
159 , 42680 , 158
1205 , 60662 , 1173
121 , 42718 , 121
1118 , 43055 , 1100
228 , 42611 , 228
520 , 42197 , 496
666 , 43429 , 602
288 , 43885 , 271
405 , 43768 , 388
9263 , 34910 , 9259
2395 , 41778 , 2393
574 , 43599 , 570
276 , 43871 , 274
227 , 43946 , 226
224 , 59135 , 211
581 , 43592 , 581
353 , 43820 , 352
1705 , 42468 , 1704
4615 , 57680 , 4609
206 , 43967 , 205
2781 , 41392 , 2768
941 , 43232 , 940
199 , 61595 , 185
7219 , 36954 , 7218
315 , 60058 , 307
2576 , 38693 , 2543
1574 , 42439 , 1568
397 , 43776 , 397
1859 , 42317 , 1842
1960 , 42213 , 1950
539 , 42894 , 498
4645 , 39528 , 4644
17678 , 41123 , 17674
432 , 43741 , 432
2814 , 41359 , 2814
301 , 43872 , 297
321 , 60052 , 316
463 , 43710 , 463
284 , 60281 , 249
510 , 43663 , 506
490 , 43683 , 488
1159 , 43014 , 1150
471 , 60598 , 422
315 , 43858 , 313
751 , 43326 , 743
482 , 43691 , 470
2154 , 47914 , 2150
234 , 43939 , 231
1431 , 42746 , 1351
1880 , 42293 , 1879
294 , 43879 , 293
532 , 43641 , 532
452 , 43721 , 450
144 , 44029 , 126
889 , 61160 , 698
407 , 43766 , 407
1691 , 42347 , 1665
299 , 42540 , 299
238 , 60303 , 215
529 , 42310 , 529
272 , 43900 , 270
602 , 43571 , 601
679 , 43494 , 679
1546 , 42627 , 1544
478 , 43695 , 463
445 , 43728 , 426
1044 , 59540 , 1017
233 , 43940 , 232
686 , 43487 , 682
1454 , 58482 , 1444
379 , 43794 , 376
421 , 43756 , 416
452 , 62020 , 398
420 , 58807 , 405
646 , 60078 , 639
157 , 44016 , 155
304 , 43869 , 303
1337 , 54564 , 1328
352 , 43821 , 349
169 , 45750 , 162
338 , 42501 , 338
2756 , 45697 , 2753
188 , 58617 , 169
999 , 55010 , 985
564 , 43609 , 561
211 , 43962 , 209
1289 , 55423 , 1280
192 , 43981 , 190
236 , 60200 , 225
1064 , 43109 , 1064
532 , 53106 , 523
197 , 43976 , 197
371 , 59247 , 270
140 , 44033 , 134
245 , 43941 , 182
640 , 43533 , 640
135 , 44038 , 127
1910 , 58631 , 1894
364 , 43809 , 363
2433 , 41740 , 2433
743 , 42096 , 743
7164 , 37009 , 7163
1949 , 59474 , 1937
385 , 42532 , 377
228 , 46881 , 225
236 , 43937 , 236
1437 , 42736 , 1437
247 , 50229 , 237
483 , 43700 , 479
151 , 44022 , 150
229 , 43944 , 228
154 , 43056 , 152
243 , 43930 , 238
654 , 59289 , 604
360 , 43814 , 349
166 , 44007 , 166
795 , 43378 , 793
273 , 43900 , 260
117 , 44056 , 116
502 , 43671 , 499
948 , 54024 , 928
1225 , 42948 , 1213
642 , 43531 , 642
528 , 43645 , 527
216 , 42503 , 208
263 , 43910 , 263
1983 , 42190 , 1982
518 , 43203 , 509
238 , 43935 , 237
361 , 43812 , 361
150 , 61315 , 146
470 , 43703 , 464
466 , 60957 , 433
325 , 43848 , 317
5608 , 53788 , 5526
443 , 43730 , 443
429 , 53874 , 414
342 , 43831 , 342
757 , 43416 , 754
2682 , 41491 , 2670
313 , 61853 , 308
435 , 43738 , 435
1445 , 60517 , 1218
382 , 42395 , 317
1389 , 42784 , 1389
5548 , 38625 , 5530
540 , 61822 , 256
1124 , 43049 , 1124
107 , 58818 , 104
141 , 41769 , 139
243 , 42596 , 243
1252 , 42921 , 1252
2506 , 41667 , 2506
421 , 43752 , 414
165 , 57951 , 155
150 , 42689 , 149
1054 , 61070 , 1043
2018 , 42155 , 2018
635 , 43538 , 634
861 , 43312 , 850
570 , 43603 , 570
193 , 43980 , 193
1312 , 41527 , 1311
260 , 43913 , 256
380 , 43793 , 379
159 , 44014 , 159
1375 , 57550 , 1366
755 , 43418 , 755
499 , 43674 , 497
2833 , 40006 , 2833
890 , 43283 , 887
1609 , 57316 , 1597
627 , 59746 , 619
291 , 43882 , 289
351 , 43822 , 350
1471 , 42702 , 1459
243 , 43930 , 243
402 , 43788 , 401
381 , 42458 , 381
308 , 43865 , 308
232 , 62039 , 222
1351 , 56014 , 1347
430 , 43606 , 427
420 , 43213 , 414
1858 , 59936 , 1838
1685 , 59074 , 1647
819 , 43262 , 675
859 , 43319 , 851
200 , 60173 , 195
1411 , 42762 , 1410
715 , 43458 , 708
4513 , 39660 , 4513
1226 , 42947 , 1226
